diseaseNID,diseaseId,diseaseName,type
1314,C0018926,Hematemesis,phenotype
1316,C0018935,Hematocrit procedure,phenotype
1321,C0018952,Extramedullary Hematopoiesis Function,phenotype
1322,C0018965,Hematuria,phenotype
1324,C0018979,Hemianopsia,disease
1327,C0018989,Hemiparesis,phenotype
1328,C0018991,Hemiplegia,phenotype
1329,C0018995,Hemochromatosis,disease
1331,C0019025,Hemoglobin F Disease,disease
1332,C0019029,Hemoglobin concentration result,phenotype
1334,C0019045,Hemoglobinopathies,group
1335,C0019048,Hemoglobinuria,disease
1338,C0019061,Hemolytic-Uremic Syndrome,disease
1339,C0019064,Hemopericardium,phenotype
1342,C0019069,Hemophilia A,disease
1343,C0019079,Hemoptysis,phenotype
1344,C0019080,Hemorrhage,phenotype
1349,C0019100,Severe Dengue,disease
1350,C0019101,Hemorrhagic Fever with Renal Syndrome,disease
1355,C0019147,Hepatic Coma,disease
1356,C0019151,Hepatic Encephalopathy,disease
1357,C0019154,Hepatic Vein Thrombosis,disease
1359,C0019158,Hepatitis,group
1361,C0019163,Hepatitis B,disease
1363,C0019188,"Hepatitis, Animal",disease
1364,C0019189,"Hepatitis, Chronic",disease
1365,C0019193,"Hepatitis, Toxic",disease
1367,C0019196,Hepatitis C,disease
1368,C0019202,Hepatolenticular Degeneration,disease
1369,C0019207,"Hepatoma, Morris",disease
1370,C0019208,"Hepatoma, Novikoff",disease
1371,C0019209,Hepatomegaly,phenotype
1373,C0019214,Hepatosplenomegaly,phenotype
1374,C0019243,"Angioedemas, Hereditary",disease
1376,C0019269,Hermaphroditism,disease
1377,C0019270,Hernia,phenotype
1378,C0019284,Diaphragmatic Hernia,phenotype
1379,C0019288,"Hernia, Femoral",disease
1380,C0019294,"Hernia, Inguinal",phenotype
1383,C0019322,Umbilical hernia,phenotype
1385,C0019337,Heroin Dependence,disease
1391,C0019348,Herpes Simplex Infections,group
1393,C0019360,Herpes zoster disease,group
1396,C0019385,Herpetic meningoencephalitis,disease
1399,C0019553,Hip Contracture,disease
1402,C0019562,Von Hippel-Lindau Syndrome,disease
1403,C0019569,Hirschsprung Disease,disease
