geneNID,geneId,geneName,geneDescription,pLI,DSI,DPI
2668,3678,ITGA5,integrin subunit alpha 5,0.42455,0.524,0.769
2669,3679,ITGA7,integrin subunit alpha 7,4.2657e-17,0.588,0.654
2670,3680,ITGA9,integrin subunit alpha 9,0.0081584,0.621,0.692
2673,3683,ITGAL,integrin subunit alpha L,0.0043213,0.511,0.885
2674,3684,ITGAM,integrin subunit alpha M,3.3148e-11,0.443,0.808
2675,3685,ITGAV,integrin subunit alpha V,0.00022844,0.526,0.769
2677,3688,ITGB1,integrin subunit beta 1,0.98208,0.496,0.808
2678,3689,ITGB2,integrin subunit beta 2,5.0817e-15,0.444,0.923
2679,3690,ITGB3,integrin subunit beta 3,0.0017189,0.485,0.846
2680,3691,ITGB4,integrin subunit beta 4,9.5287e-19,0.525,0.731
2683,3694,ITGB6,integrin subunit beta 6,1.6277e-22,0.597,0.692
2685,3696,ITGB8,integrin subunit beta 8,0.99767,0.65,0.462
2686,3697,ITIH1,inter-alpha-trypsin inhibitor heavy chain 1,2.0755e-31,0.691,0.462
2687,3698,ITIH2,inter-alpha-trypsin inhibitor heavy chain 2,3.8025e-23,0.839,0.308
2691,3703,STT3A,STT3 oligosaccharyltransferase complex catalytic subunit A,0.002045,0.67,0.577
2693,3705,ITPK1,inositol-tetrakisphosphate 1-kinase,0.99389,0.76,0.346
2696,3708,ITPR1,"inositol 1,4,5-trisphosphate receptor type 1",1,0.534,0.846
2697,3709,ITPR2,"inositol 1,4,5-trisphosphate receptor type 2",5.7127e-29,0.631,0.654
2698,3710,ITPR3,"inositol 1,4,5-trisphosphate receptor type 3",2.5541e-22,0.555,0.808
2699,3712,IVD,isovaleryl-CoA dehydrogenase,1.5329e-14,0.705,0.462
2701,3714,JAG2,jagged canonical Notch ligand 2,1,0.576,0.846
2702,3716,JAK1,Janus kinase 1,0.99998,0.474,0.769
2703,3717,JAK2,Janus kinase 2,0.65372,0.385,0.885
2704,3718,JAK3,Janus kinase 3,5.9311e-06,0.505,0.731
2707,3725,JUN,"Jun proto-oncogene, AP-1 transcription factor subunit",0.05962,0.442,0.885
2708,3726,JUNB,"JunB proto-oncogene, AP-1 transcription factor subunit",0.86299,0.467,0.769
2709,3727,JUND,"JunD proto-oncogene, AP-1 transcription factor subunit",0.70054,0.475,0.808
2710,3728,JUP,junction plakoglobin,0.00080103,0.628,0.5
2711,3730,ANOS1,anosmin 1,0.99793,0.537,0.769
2712,3732,CD82,CD82 molecule,1.2726e-08,0.507,0.731
2714,3735,KARS1,lysyl-tRNA synthetase 1,4.211e-09,0.636,0.577
2715,3736,KCNA1,potassium voltage-gated channel subfamily A member 1,0.076028,0.573,0.577
2716,3737,KCNA2,potassium voltage-gated channel subfamily A member 2,0.91067,0.612,0.577
2718,3739,KCNA4,potassium voltage-gated channel subfamily A member 4,0.98327,0.716,0.423
2719,3741,KCNA5,potassium voltage-gated channel subfamily A member 5,0.0010938,0.606,0.5
2723,3745,KCNB1,potassium voltage-gated channel subfamily B member 1,0.99977,0.65,0.462
2724,3746,KCNC1,potassium voltage-gated channel subfamily C member 1,0.98957,0.711,0.154
2726,3748,KCNC3,potassium voltage-gated channel subfamily C member 3,0.20575,0.705,0.462
2727,3749,KCNC4,potassium voltage-gated channel subfamily C member 4,0.0044543,0.722,0.423
2730,3752,KCND3,potassium voltage-gated channel subfamily D member 3,0.98972,0.619,0.615
2731,3753,KCNE1,potassium voltage-gated channel subfamily E regulatory subunit 1,0.003396,0.588,0.615
2733,3756,KCNH1,potassium voltage-gated channel subfamily H member 1,0.54625,0.542,0.731
2734,3757,KCNH2,potassium voltage-gated channel subfamily H member 2,0.99593,0.522,0.731
2735,3758,KCNJ1,potassium inwardly rectifying channel subfamily J member 1,4.6255e-05,0.619,0.577
2736,3759,KCNJ2,potassium inwardly rectifying channel subfamily J member 2,0.30653,0.572,0.731
2738,3761,KCNJ4,potassium inwardly rectifying channel subfamily J member 4,0.9649,0.805,0.385
2739,3762,KCNJ5,potassium inwardly rectifying channel subfamily J member 5,0.00033577,0.56,0.577
2740,3763,KCNJ6,potassium inwardly rectifying channel subfamily J member 6,0.54063,0.615,0.692
2741,3764,KCNJ8,potassium inwardly rectifying channel subfamily J member 8,0.37965,0.619,0.538
2743,3766,KCNJ10,potassium inwardly rectifying channel subfamily J member 10,0.1502,0.599,0.654
2744,3767,KCNJ11,potassium inwardly rectifying channel subfamily J member 11,0.010894,0.529,0.615
